Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, blank, blank 
40,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
40,50,0.0100001,0.2,1e-07,1e-07,1e-07,
40,50,0.0100001,0.4,1e-07,1e-07,1e-07,
40,50,0.0100001,0.6,1e-07,1e-07,1e-07,
40,50,0.0100001,0.8,1e-07,1e-07,1e-07,
40,50,0.0100001,1,1e-07,1e-07,1e-07,
40,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
40,50,0.0480001,0.2,1e-07,1e-07,1e-07,
40,50,0.0480001,0.4,1.02112e-07,1.02104e-07,1e-07,
40,50,0.0480001,0.6,1.8899e-05,1.87722e-05,1e-07,
40,50,0.0480001,0.8,0.00174856,0.00174352,1e-07,
40,50,0.0480001,1,0.0260025,0.0259738,1e-07,
40,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
40,50,0.0860001,0.2,1.80027e-06,1.78583e-06,1e-07,
40,50,0.0860001,0.4,0.0104454,0.010431,1e-07,
40,50,0.0860001,0.6,0.203381,0.20335,1e-07,
40,50,0.0860001,0.8,0.918299,0.91834,1e-07,
40,50,0.0860001,1,2.29081,2.2909,1e-07,
40,50,0.124,1e-07,1e-07,1e-07,1e-07,
40,50,0.124,0.2,0.00491674,0.00490867,1e-07,
40,50,0.124,0.4,0.389751,0.389752,1e-07,
40,50,0.124,0.6,1.80067,1.80074,1e-07,
40,50,0.124,0.8,3.99488,3.99489,1e-07,
40,50,0.124,1,6.55178,6.5517,1e-07,
40,50,0.162,1e-07,1e-07,1e-07,1e-07,
40,50,0.162,0.2,0.104713,0.104694,1e-07,
40,50,0.162,0.4,1.56283,1.56288,1e-07,
40,50,0.162,0.6,4.15617,4.15614,1e-07,
40,50,0.162,0.8,7.01833,7.01825,1e-07,
40,50,0.162,1,9.79703,9.79698,1e-07,
40,50,0.2,1e-07,1e-07,1e-07,1e-07,
40,50,0.2,0.2,0.463666,0.463686,1e-07,
40,50,0.2,0.4,3.07027,3.07026,1e-07,
40,50,0.2,0.6,6.23965,6.23958,1e-07,
40,50,0.2,0.8,9.22442,9.22439,1e-07,
40,50,0.2,1,11.9029,11.9029,1e-07,
40.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
40.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
40.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
40.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
40.5,50,0.0100001,1,1e-07,1e-07,1e-07,
40.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.0480001,0.2,1e-07,1e-07,1e-07,
40.5,50,0.0480001,0.4,1.30214e-07,1.29545e-07,1e-07,
40.5,50,0.0480001,0.6,0.000101576,0.000101049,1e-07,
40.5,50,0.0480001,0.8,0.00579749,0.00578594,1e-07,
40.5,50,0.0480001,1,0.0643575,0.0643159,1e-07,
40.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.0860001,0.2,9.8264e-06,9.75972e-06,1e-07,
40.5,50,0.0860001,0.4,0.02403,0.0240081,1e-07,
40.5,50,0.0860001,0.6,0.345359,0.345345,1e-07,
40.5,50,0.0860001,0.8,1.33971,1.33978,1e-07,
40.5,50,0.0860001,1,3.0511,3.05117,1e-07,
40.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.124,0.2,0.0114131,0.0114002,1e-07,
40.5,50,0.124,0.4,0.583754,0.583777,1e-07,
40.5,50,0.124,0.6,2.33049,2.33055,1e-07,
40.5,50,0.124,0.8,4.80621,4.80618,1e-07,
40.5,50,0.124,1,7.54448,7.54438,1e-07,
40.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.162,0.2,0.171947,0.171935,1e-07,
40.5,50,0.162,0.4,1.98526,1.98531,1e-07,
40.5,50,0.162,0.6,4.8466,4.84655,1e-07,
40.5,50,0.162,0.8,7.84146,7.84138,1e-07,
40.5,50,0.162,1,10.6686,10.6686,1e-07,
40.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
40.5,50,0.2,0.2,0.643359,0.643391,1e-07,
40.5,50,0.2,0.4,3.59979,3.59976,1e-07,
40.5,50,0.2,0.6,6.91638,6.91632,1e-07,
40.5,50,0.2,0.8,9.94183,9.94183,1e-07,
40.5,50,0.2,1,12.6143,12.6144,1e-07,
41,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
41,50,0.0100001,0.2,1e-07,1e-07,1e-07,
41,50,0.0100001,0.4,1e-07,1e-07,1e-07,
41,50,0.0100001,0.6,1e-07,1e-07,1e-07,
41,50,0.0100001,0.8,1e-07,1e-07,1e-07,
41,50,0.0100001,1,1e-07,1e-07,1e-07,
41,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
41,50,0.0480001,0.2,1e-07,1e-07,1e-07,
41,50,0.0480001,0.4,4.54954e-07,4.51483e-07,1e-07,
41,50,0.0480001,0.6,0.00048096,0.000479116,1e-07,
41,50,0.0480001,0.8,0.0174474,0.017425,1e-07,
41,50,0.0480001,1,0.147502,0.147455,1e-07,
41,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
41,50,0.0860001,0.2,4.92603e-05,4.89959e-05,1e-07,
41,50,0.0860001,0.4,0.051988,0.0519595,1e-07,
41,50,0.0860001,0.6,0.563099,0.563111,1e-07,
41,50,0.0860001,0.8,1.8963,1.89638,1e-07,
41,50,0.0860001,1,3.96734,3.96738,1e-07,
41,50,0.124,1e-07,1e-07,1e-07,1e-07,
41,50,0.124,0.2,0.0249605,0.0249425,1e-07,
41,50,0.124,0.4,0.848836,0.848879,1e-07,
41,50,0.124,0.6,2.95771,2.95774,1e-07,
41,50,0.124,0.8,5.69859,5.69852,1e-07,
41,50,0.124,1,8.58753,8.58744,1e-07,
41,50,0.162,1e-07,1e-07,1e-07,1e-07,
41,50,0.162,0.2,0.272654,0.272654,1e-07,
41,50,0.162,0.4,2.47846,2.47849,1e-07,
41,50,0.162,0.6,5.58707,5.587,1e-07,
41,50,0.162,0.8,8.6863,8.68625,1e-07,
41,50,0.162,1,11.5388,11.5388,1e-07,
41,50,0.2,1e-07,1e-07,1e-07,1e-07,
41,50,0.2,0.2,0.872433,0.872473,1e-07,
41,50,0.2,0.4,4.17271,4.17266,1e-07,
41,50,0.2,0.6,7.60865,7.6086,1e-07,
41,50,0.2,0.8,10.6546,10.6547,1e-07,
41,50,0.2,1,13.3083,13.3084,1e-07,
41.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
41.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
41.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
41.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
41.5,50,0.0100001,1,1e-07,1e-07,1e-07,
41.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.0480001,0.2,1e-07,1e-07,1e-07,
41.5,50,0.0480001,0.4,3.54754e-06,3.5193e-06,1e-07,
41.5,50,0.0480001,0.6,0.00200938,0.002004,1e-07,
41.5,50,0.0480001,0.8,0.0478181,0.0477827,1e-07,
41.5,50,0.0480001,1,0.313883,0.313849,1e-07,
41.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.0860001,0.2,0.000220568,0.000219676,1e-07,
41.5,50,0.0860001,0.4,0.105996,0.105966,1e-07,
41.5,50,0.0860001,0.6,0.882789,0.882832,1e-07,
41.5,50,0.0860001,0.8,2.60688,2.60695,1e-07,
41.5,50,0.0860001,1,5.04058,5.04057,1e-07,
41.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.124,0.2,0.0515356,0.0515141,1e-07,
41.5,50,0.124,0.4,1.19952,1.19958,1e-07,
41.5,50,0.124,0.6,3.6834,3.6834,1e-07,
41.5,50,0.124,0.8,6.66218,6.66209,1e-07,
41.5,50,0.124,1,9.66607,9.66601,1e-07,
41.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.162,0.2,0.417995,0.418011,1e-07,
41.5,50,0.162,0.4,3.04273,3.04273,1e-07,
41.5,50,0.162,0.6,6.36951,6.36943,1e-07,
41.5,50,0.162,0.8,9.54282,9.5428,1e-07,
41.5,50,0.162,1,12.3981,12.3982,1e-07,
41.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
41.5,50,0.2,0.2,1.15713,1.15717,1e-07,
41.5,50,0.2,0.4,4.78376,4.7837,1e-07,
41.5,50,0.2,0.6,8.30919,8.30917,1e-07,
41.5,50,0.2,0.8,11.3564,11.3564,1e-07,
41.5,50,0.2,1,13.9796,13.9797,1e-07,
42,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
42,50,0.0100001,0.2,1e-07,1e-07,1e-07,
42,50,0.0100001,0.4,1e-07,1e-07,1e-07,
42,50,0.0100001,0.6,1e-07,1e-07,1e-07,
42,50,0.0100001,0.8,1e-07,1e-07,1e-07,
42,50,0.0100001,1,1e-07,1e-07,1e-07,
42,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
42,50,0.0480001,0.2,1.00002e-07,1.00002e-07,1e-07,
42,50,0.0480001,0.4,2.79626e-05,2.77887e-05,1e-07,
42,50,0.0480001,0.6,0.00743527,0.00742234,1e-07,
42,50,0.0480001,0.8,0.119732,0.119689,1e-07,
42,50,0.0480001,1,0.621741,0.621744,1e-07,
42,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
42,50,0.0860001,0.2,0.000880953,0.000878395,1e-07,
42,50,0.0860001,0.4,0.204074,0.204052,1e-07,
42,50,0.0860001,0.6,1.33251,1.33257,1e-07,
42,50,0.0860001,0.8,3.4841,3.48413,1e-07,
42,50,0.0860001,1,6.26244,6.26237,1e-07,
42,50,0.124,1e-07,1e-07,1e-07,1e-07,
42,50,0.124,0.2,0.10065,0.10063,1e-07,
42,50,0.124,0.4,1.64894,1.64899,1e-07,
42,50,0.124,0.6,4.50411,4.50407,1e-07,
42,50,0.124,0.8,7.68348,7.68339,1e-07,
42,50,0.124,1,10.7632,10.7632,1e-07,
42,50,0.162,1e-07,1e-07,1e-07,1e-07,
42,50,0.162,0.2,0.620252,0.620283,1e-07,
42,50,0.162,0.4,3.67542,3.67539,1e-07,
42,50,0.162,0.6,7.18399,7.18393,1e-07,
42,50,0.162,0.8,10.4003,10.4003,1e-07,
42,50,0.162,1,13.2369,13.237,1e-07,
42,50,0.2,1e-07,1e-07,1e-07,1e-07,
42,50,0.2,0.2,1.50221,1.50224,1e-07,
42,50,0.2,0.4,5.42616,5.4261,1e-07,
42,50,0.2,0.6,9.01033,9.01034,1e-07,
42,50,0.2,0.8,12.0407,12.0408,1e-07,
42,50,0.2,1,14.6232,14.6233,1e-07,
42.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
42.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
42.5,50,0.0100001,1,1e-07,1e-07,1e-07,
42.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0480001,0.2,1.00089e-07,1.00092e-07,1e-07,
42.5,50,0.0480001,0.4,0.000188638,0.000187792,1e-07,
42.5,50,0.0480001,0.6,0.0244656,0.0244407,1e-07,
42.5,50,0.0480001,0.8,0.274737,0.274704,1e-07,
42.5,50,0.0480001,1,1.14916,1.14921,1e-07,
42.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.0860001,0.2,0.00314768,0.00314151,1e-07,
42.5,50,0.0860001,0.4,0.371738,0.371736,1e-07,
42.5,50,0.0860001,0.6,1.93899,1.93906,1e-07,
42.5,50,0.0860001,0.8,4.53133,4.53132,1e-07,
42.5,50,0.0860001,1,7.61407,7.61397,1e-07,
42.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.124,0.2,0.186286,0.186274,1e-07,
42.5,50,0.124,0.4,2.20707,2.20711,1e-07,
42.5,50,0.124,0.6,5.41131,5.41124,1e-07,
42.5,50,0.124,0.8,8.74565,8.74559,1e-07,
42.5,50,0.124,1,11.8604,11.8604,1e-07,
42.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.162,0.2,0.891823,0.891864,1e-07,
42.5,50,0.162,0.4,4.37071,4.37065,1e-07,
42.5,50,0.162,0.6,8.01902,8.01898,1e-07,
42.5,50,0.162,0.8,11.2475,11.2475,1e-07,
42.5,50,0.162,1,14.046,14.0461,1e-07,
42.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
42.5,50,0.2,0.2,1.91024,1.91025,1e-07,
42.5,50,0.2,0.4,6.09178,6.09173,1e-07,
42.5,50,0.2,0.6,9.70414,9.70418,1e-07,
42.5,50,0.2,0.8,12.7013,12.7014,1e-07,
42.5,50,0.2,1,15.2346,15.2346,1e-07,
43,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0100001,0.2,1e-07,1e-07,1e-07,
43,50,0.0100001,0.4,1e-07,1e-07,1e-07,
43,50,0.0100001,0.6,1e-07,1e-07,1e-07,
43,50,0.0100001,0.8,1e-07,1e-07,1e-07,
43,50,0.0100001,1,1e-07,1e-07,1e-07,
43,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0480001,0.2,1.03718e-07,1.04067e-07,1e-07,
43,50,0.0480001,0.4,0.00107463,0.00107138,1e-07,
43,50,0.0480001,0.6,0.0718682,0.0718319,1e-07,
43,50,0.0480001,0.8,0.579403,0.579407,1e-07,
43,50,0.0480001,1,1.98652,1.98661,1e-07,
43,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
43,50,0.0860001,0.2,0.0100968,0.0100845,1e-07,
43,50,0.0860001,0.4,0.641857,0.641884,1e-07,
43,50,0.0860001,0.6,2.72339,2.72344,1e-07,
43,50,0.0860001,0.8,5.7402,5.74013,1e-07,
43,50,0.0860001,1,9.06604,9.06595,1e-07,
43,50,0.124,1e-07,1e-07,1e-07,1e-07,
43,50,0.124,0.2,0.32733,0.327336,1e-07,
43,50,0.124,0.4,2.87892,2.87893,1e-07,
43,50,0.124,0.6,6.39125,6.39117,1e-07,
43,50,0.124,0.8,9.82902,9.829,1e-07,
43,50,0.124,1,12.9383,12.9384,1e-07,
43,50,0.162,1e-07,1e-07,1e-07,1e-07,
43,50,0.162,0.2,1.24383,1.24386,1e-07,
43,50,0.162,0.4,5.11945,5.11939,1e-07,
43,50,0.162,0.6,8.86182,8.86182,1e-07,
43,50,0.162,0.8,12.0732,12.0733,1e-07,
43,50,0.162,1,14.8162,14.8163,1e-07,
43,50,0.2,1e-07,1e-07,1e-07,1e-07,
43,50,0.2,0.2,2.38098,2.38097,1e-07,
43,50,0.2,0.4,6.77132,6.77129,1e-07,
43,50,0.2,0.6,10.3826,10.3827,1e-07,
43,50,0.2,0.8,13.3324,13.3325,1e-07,
43,50,0.2,1,15.8094,15.8095,1e-07,
43.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
43.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
43.5,50,0.0100001,1,1e-07,1e-07,1e-07,
43.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0480001,0.2,2.10704e-07,2.09396e-07,1e-07,
43.5,50,0.0480001,0.4,0.00518753,0.00517787,1e-07,
43.5,50,0.0480001,0.6,0.18918,0.189146,1e-07,
43.5,50,0.0480001,0.8,1.12622,1.12627,1e-07,
43.5,50,0.0480001,1,3.21897,3.21904,1e-07,
43.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.0860001,0.2,0.0291784,0.029159,1e-07,
43.5,50,0.0860001,0.4,1.05236,1.05241,1e-07,
43.5,50,0.0860001,0.6,3.69643,3.69643,1e-07,
43.5,50,0.0860001,0.8,7.0888,7.08871,1e-07,
43.5,50,0.0860001,1,10.5791,10.579,1e-07,
43.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.124,0.2,0.546986,0.547013,1e-07,
43.5,50,0.124,0.4,3.66283,3.66281,1e-07,
43.5,50,0.124,0.6,7.42515,7.42509,1e-07,
43.5,50,0.124,0.8,10.9118,10.9118,1e-07,
43.5,50,0.124,1,13.9773,13.9774,1e-07,
43.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.162,0.2,1.6844,1.68443,1e-07,
43.5,50,0.162,0.4,5.90934,5.90929,1e-07,
43.5,50,0.162,0.6,9.69873,9.69877,1e-07,
43.5,50,0.162,0.8,12.8663,12.8664,1e-07,
43.5,50,0.162,1,15.5393,15.5394,1e-07,
43.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
43.5,50,0.2,0.2,2.91084,2.91081,1e-07,
43.5,50,0.2,0.4,7.45456,7.45456,1e-07,
43.5,50,0.2,0.6,11.0378,11.0379,1e-07,
43.5,50,0.2,0.8,13.9284,13.9284,1e-07,
43.5,50,0.2,1,16.3439,16.3439,1e-07,
44,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0100001,0.2,1e-07,1e-07,1e-07,
44,50,0.0100001,0.4,1e-07,1e-07,1e-07,
44,50,0.0100001,0.6,1e-07,1e-07,1e-07,
44,50,0.0100001,0.8,1e-07,1e-07,1e-07,
44,50,0.0100001,1,1.00001e-07,1.00001e-07,1e-07,
44,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0480001,0.2,2.48461e-06,2.46508e-06,1e-07,
44,50,0.0480001,0.4,0.0213287,0.0213075,1e-07,
44,50,0.0480001,0.6,0.447856,0.447852,1e-07,
44,50,0.0480001,0.8,2.02308,2.02316,1e-07,
44,50,0.0480001,1,4.89984,4.89983,1e-07,
44,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
44,50,0.0860001,0.2,0.0762262,0.0762041,1e-07,
44,50,0.0860001,0.4,1.64115,1.64121,1e-07,
44,50,0.0860001,0.6,4.85379,4.85374,1e-07,
44,50,0.0860001,0.8,8.5414,8.54132,1e-07,
44,50,0.0860001,1,12.1059,12.106,1e-07,
44,50,0.124,1e-07,1e-07,1e-07,1e-07,
44,50,0.124,0.2,0.870695,0.870736,1e-07,
44,50,0.124,0.4,4.54918,4.54912,1e-07,
44,50,0.124,0.6,8.48977,8.48975,1e-07,
44,50,0.124,0.8,11.9708,11.9709,1e-07,
44,50,0.124,1,14.958,14.9581,1e-07,
44,50,0.162,1e-07,1e-07,1e-07,1e-07,
44,50,0.162,0.2,2.21696,2.21696,1e-07,
44,50,0.162,0.4,6.72524,6.72521,1e-07,
44,50,0.162,0.6,10.5156,10.5157,1e-07,
44,50,0.162,0.8,13.616,13.6161,1e-07,
44,50,0.162,1,16.2074,16.2074,1e-07,
44,50,0.2,1e-07,1e-07,1e-07,1e-07,
44,50,0.2,0.2,3.49263,3.49258,1e-07,
44,50,0.2,0.4,8.13069,8.13073,1e-07,
44,50,0.2,0.6,11.6622,11.6623,1e-07,
44,50,0.2,0.8,14.4841,14.4841,1e-07,
44,50,0.2,1,16.8347,16.8346,1e-07,
44.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,
44.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,
44.5,50,0.0100001,1,1.04479e-07,1.04509e-07,1e-07,
44.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0480001,0.2,3.76475e-05,3.7435e-05,1e-07,
44.5,50,0.0480001,0.4,0.0750799,0.0750486,1e-07,
44.5,50,0.0480001,0.6,0.956822,0.956869,1e-07,
44.5,50,0.0480001,0.8,3.36722,3.36727,1e-07,
44.5,50,0.0480001,1,7.0207,7.02062,1e-07,
44.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.0860001,0.2,0.180607,0.180594,1e-07,
44.5,50,0.0860001,0.4,2.43838,2.43841,1e-07,
44.5,50,0.0860001,0.6,6.17272,6.17264,1e-07,
44.5,50,0.0860001,0.8,10.0495,10.0495,1e-07,
44.5,50,0.0860001,1,13.594,13.5941,1e-07,
44.5,50,0.124,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.124,0.2,1.32233,1.32237,1e-07,
44.5,50,0.124,0.4,5.51973,5.51966,1e-07,
44.5,50,0.124,0.6,9.55839,9.55841,1e-07,
44.5,50,0.124,0.8,12.9827,12.9828,1e-07,
44.5,50,0.124,1,15.8623,15.8624,1e-07,
44.5,50,0.162,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.162,0.2,2.83855,2.83853,1e-07,
44.5,50,0.162,0.4,7.5497,7.5497,1e-07,
44.5,50,0.162,0.6,11.2984,11.2985,1e-07,
44.5,50,0.162,0.8,14.3124,14.3124,1e-07,
44.5,50,0.162,1,16.8138,16.8137,1e-07,
44.5,50,0.2,1e-07,1e-07,1e-07,1e-07,
44.5,50,0.2,0.2,4.11549,4.11545,1e-07,
44.5,50,0.2,0.4,8.78864,8.7887,1e-07,
44.5,50,0.2,0.6,12.2485,12.2485,1e-07,
44.5,50,0.2,0.8,14.9951,14.9951,1e-07,
44.5,50,0.2,1,17.2789,17.2788,1e-07,
45,50,0.0100001,1e-07,1e-07,1e-07,1e-07,
45,50,0.0100001,0.2,1e-07,1e-07,1e-07,
45,50,0.0100001,0.4,1e-07,1e-07,1e-07,
45,50,0.0100001,0.6,1e-07,1e-07,1e-07,
45,50,0.0100001,0.8,1.00042e-07,1.00043e-07,1e-07,
45,50,0.0100001,1,4.18356e-06,4.14915e-06,1e-07,
